absoluto	adjective	absolute, unconditional	no me gustó en absoluto	I did not like it at all
danza	feminine noun	dance, dancing	danza folklórica	folk dance
debilidad	feminine noun	weakness, debility, feebleness	no sentence available	no sentence available
década	feminine noun	decade	no sentence available	no sentence available
desaparición	feminine noun	disappearance	no sentence available	no sentence available
destrucción	feminine noun	destruction	no sentence available	no sentence available
deuda	feminine noun	debt	no sentence available	no sentence available
dignidad	feminine noun	dignity	no sentence available	no sentence available
distribución	feminine noun	distribution	no sentence available	no sentence available
doña	feminine noun	doughnut, donut	no sentence available	no sentence available
droga	feminine noun	drug	no sentence available	no sentence available
edición	feminine noun	edition	no sentence available	no sentence available
ejecución	feminine noun	execution	no sentence available	no sentence available
entrega	feminine noun	delivery	entrega inicial	down payment
escritura	feminine noun	writing, handwriting	no sentence available	no sentence available
estancia	feminine noun	stay, sojourn	no sentence available	no sentence available
evidencia	feminine noun	evidence, proof	no sentence available	no sentence available
expectativa	feminine noun	expectation, hope	estar a la expectativa de	to await, to wait for
explosión	feminine noun	explosion	una explosión de ira	an outburst of anger
extensión	feminine noun	extension, stretching	no sentence available	no sentence available
fantasía	feminine noun	fantasy	no sentence available	no sentence available
fase	feminine noun	phase, stage	no sentence available	no sentence available
foto	feminine noun	photo, picture	no sentence available	no sentence available
garantía	feminine noun	guarantee, warranty	garantía de trabajo	job security
gloria	feminine noun	glory	las glorias del cine	the great names in motion pictures
herencia	feminine noun	inheritance	no sentence available	no sentence available
herida	feminine noun	injury, wound	no sentence available	no sentence available
herramienta	feminine noun	tool	no sentence available	no sentence available
hipótesis	invariable singular or plural feminine noun	hypothesis	no sentence available	no sentence available
huella	feminine noun	footprint	seguir las huellas de alguien	to follow in someone's footsteps
inclinación	feminine noun	inclination, tendency	inclinación de cabeza	nod
instalación	feminine noun	installation	no sentence available	no sentence available
instancia	feminine noun	petition, request	no sentence available	no sentence available
intensidad	feminine noun	intensity	no sentence available	no sentence available
inversión	feminine noun	inversion	no sentence available	no sentence available
invitación	feminine noun	invitation	no sentence available	no sentence available
jornada	feminine noun	expedition, day's journey	no sentence available	no sentence available
lágrima	feminine noun	tear, teardrop	no sentence available	no sentence available
lata	feminine noun	tin	no sentence available	no sentence available
leyenda	feminine noun	legend	no sentence available	no sentence available
liberación	feminine noun	liberation, deliverance	liberación de la mujer	women's liberation
limpieza	feminine noun	cleanliness, tidiness	no sentence available	no sentence available
llave	feminine noun	key	bajo llave	under lock and key
locura	feminine noun	insanity, madness	no sentence available	no sentence available
lógica	feminine noun	logic	no sentence available	no sentence available
luna	feminine noun	moon	no sentence available	no sentence available
madrugada	feminine noun	early morning, wee hours	no sentence available	no sentence available
mamá	feminine noun	mom, mama	no sentence available	no sentence available
mancha	feminine noun	stain, spot, mark	mancha de sangre	bloodstain
maravilla	feminine noun	wonder, marvel	a las mil maravillas	wonderfully, marvelously
media	feminine noun	sock	ir a medias	to go halves
meta	feminine noun	goal, objective	no sentence available	no sentence available
multitud	feminine noun	crowd, multitude	no sentence available	no sentence available
nariz	feminine noun	nose	sonar(se) la nariz	to blow one's nose
nieve	feminine noun	snow	no sentence available	no sentence available
ocupación	feminine noun	occupation, activity	no sentence available	no sentence available
oferta	feminine noun	offer	las camisas están en oferta	the shirts are on sale
ola	feminine noun	wave	no sentence available	no sentence available
onda	feminine noun	wave, ripple, undulation	onda sonora	sound wave
opción	feminine noun	option, choice	tener opción a	to be eligible for
oreja	feminine noun	ear	no sentence available	no sentence available
orilla	feminine noun	border, edge	no sentence available	no sentence available
oscuridad	feminine noun	darkness	no sentence available	no sentence available
paciencia	feminine noun	patience	tener paciencia	to be patient
pantalla	feminine noun	screen, monitor	no sentence available	no sentence available
pata	feminine noun	paw, leg (of an animal)	no sentence available	no sentence available
patria	feminine noun	native land	no sentence available	no sentence available
pelota	feminine noun	ball	no sentence available	no sentence available
pensión	feminine noun	pension	no sentence available	no sentence available
pista	feminine noun	trail, track	siguen la pista de los sospechosos	they're on the trail of the suspects
